Unnamed: 0,Periods,AC,Dish washer,Washing Machine,Dryer,Water heater,TV,Microwave,Kettle,Lighting,Refrigerator
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
8,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
10,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
11,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
14,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17,0,0.0,0.0,0.0,0.346,0.0,0.0,0.0,0.0,0.0
17,18,0,0.0,0.0,0.0,0.207,0.0,0.0,0.0,0.0,0.0
18,19,0,0.0,0.0,0.0,0.373,0.0,0.0,0.0,0.0,0.14
19,20,0,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.0
20,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084
38,39,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084
39,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084
40,41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084
46,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084
47,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084
48,49,0,0.0,0.0,0.0,0.346,0.0,0.0,0.0,0.0,0.0
49,50,0,0.0,0.0,0.0,0.207,0.0,0.0,0.0,0.0,0.0
50,51,0,0.0,0.0,0.0,0.373,0.0321923076923076,0.0,0.0,0.0,0.0
51,52,0,0.0,0.0,0.0,0.079,0.0328692307692307,0.0,0.0,0.0,0.0
52,53,0,0.0,0.0,0.0,0.0,0.0318153846153846,0.0,0.0,0.0,0.084
53,54,0,0.0,0.0,0.0,0.0,0.0345846153846153,0.0,0.0,0.0,0.084
54,55,0,0.0,0.0,0.0,0.0,0.0341923076923076,0.0,0.0,0.0,0.0
55,56,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084
57,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,62,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,67,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,68,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0503333333333333,0.0
70,71,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0686666666666666,0.0
71,72,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0686666666666666,0.0
72,73,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.0
73,74,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0676666666666666,0.0
74,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.0
75,76,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0686666666666666,0.0
76,77,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0683333333333333,0.14
77,78,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.14
78,79,0,0.0,0.0,0.0,0.0,0.0098125,0.0,0.0,0.121333333333333,0.0
79,80,0,0.0,0.0,0.0,0.0,0.00980625,0.0,0.0,0.121666666666666,0.0
80,81,0,0.0,0.0,0.0,0.0,0.00986875,0.0,0.0,0.136333333333333,0.0
81,82,0,0.0,0.0,0.0,0.0,0.00998124999999999,0.0,0.0,0.342,0.0
82,83,0,0.0,0.0,0.0,0.0,0.03173125,0.0,0.0,0.342666666666666,0.14
83,84,0,0.0,0.0,0.0,0.0,0.0435375,0.0,0.0,0.342,0.0
84,85,0,0.0,0.0,0.0,0.0,0.0409874999999999,0.0,0.0,0.0,0.14
85,86,0,0.0,0.0,0.0,0.0,0.02493125,0.0,0.0,0.0,0.14
86,87,0,0.0,1.265816,0.0,0.0,0.02498125,0.0,0.0,0.0,0.0
87,88,0,0.0,1.373064,0.0,0.346,0.02499375,0.0,0.0,0.0,0.0
88,89,0,0.0,0.0727199999999999,0.0,0.207,0.0251625,0.0,0.0,0.0,0.14
89,90,0,0.0,0.0663199999999999,0.0,0.373,0.0411187499999999,0.0,0.0,0.0,0.0
90,91,0,0.0,0.100888,0.0,0.079,0.0428,0.0,0.0,0.0,0.0
91,92,0,0.0,0.099376,0.0,0.0,0.042775,0.983,0.0,0.0,0.0
92,93,0,0.0,0.0,0.0,0.0,0.04171875,0.0,0.0,0.0,0.0
93,94,0,0.0,0.0,0.0,0.0,0.0385875,0.0,0.0,0.0,0.14
94,95,0,0.0,0.0,0.0,0.0,0.04109375,0.0,0.0,0.0,0.0
95,96,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098
97,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098
98,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098
103,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098
105,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098
106,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098
109,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098
114,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,36,0,0.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.0
132,37,0,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0
133,38,0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0
134,39,0,0.0,0.0,0.0,0.351,0.0,0.0,0.0,0.0,0.0
135,40,0,0.0,0.0,0.0,0.796,0.0,0.0,0.0,0.0,0.0
136,41,0,0.0,0.0,0.0,0.129,0.0,0.0,0.0,0.0,0.0
137,42,0,0.0,0.0,0.0,0.482,0.0,0.0,0.0,0.0,0.14
138,43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
141,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
142,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,49,0,0.0,0.0,0.0,0.0,0.0,0.974,0.0,0.0,0.0
145,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
146,51,0,0.0,0.0,0.0,0.0,0.0666066666666666,0.0,0.0,0.0,0.0
147,52,0,0.0,0.0,0.0,0.0,0.108353333333333,0.0,0.0,0.0,0.0
148,53,0,0.0,0.0,0.0,0.0,0.0725933333333333,0.0,0.0,0.0,0.14
149,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,55,0,0.0,0.0,0.580266666666666,0.0,0.0,0.0,0.0,0.0,0.0
151,56,0,0.0,0.0,1.21173333333333,0.0,0.0,0.0,0.0,0.0,0.14
152,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
153,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
